p,Scenario,SampleSize,FDH_MSE,EAT_MSE,FDH_Bias,EAT_Bias,FDH_AbsBias,EAT_AbsBias
0.0,5,25,796.2539,3417.5218,14.8729,33.6072,15.0525,33.6636
0.0,5,50,2523.495,11390.774,33.178,72.8867,33.287,72.911
0.0,5,75,3281.6168,13934.5125,40.9525,88.9573,41.0368,88.9769
0.1,5,25,725.8711,3510.6539,16.0609,38.7242,16.2373,38.7718
0.1,5,50,2345.5657,10317.9623,31.8929,68.4702,31.9968,68.5021
0.1,5,75,5833.5852,26348.5539,53.1919,117.7364,53.2676,117.7555
0.25,5,25,2744.6018,14322.2101,25.7015,59.9335,25.8358,59.9657
0.25,5,50,5558.863,24644.7234,41.3274,88.6159,41.4129,88.6388
0.25,5,75,6351.75,27427.9803,49.566,108.9218,49.6313,108.9389
